"id_dailymintemp","dailymintemp","tempdate"
"378","15.9","01/13/1982"
"379","13","01/14/1982"
"380","14.1","01/15/1982"
"381","15.8","01/16/1982"
"382","24","01/17/1982"
"383","18","01/18/1982"
"384","19.7","01/19/1982"
"385","25.2","01/20/1982"
"386","20.5","01/21/1982"
"387","19.3","01/22/1982"
"388","15.8","01/23/1982"
"389","17","01/24/1982"
"390","18.4","01/25/1982"
"391","13.3","01/26/1982"
"392","14.6","01/27/1982"
"393","12.5","01/28/1982"
"394","17","01/29/1982"
"395","17.1","01/30/1982"
"396","14","01/31/1982"
"397","14.6","02/01/1982"
"398","13.3","02/02/1982"
"399","14.8","02/03/1982"
"400","15.1","02/04/1982"
"401","13.1","02/05/1982"
"402","13.6","02/06/1982"
"403","19.5","02/07/1982"
"404","22.7","02/08/1982"
"405","17.2","02/09/1982"
"406","13.5","02/10/1982"
"407","15.4","02/11/1982"
"408","17","02/12/1982"
"409","19.2","02/13/1982"
"410","22.8","02/14/1982"
"411","26.3","02/15/1982"
"412","18.2","02/16/1982"
"413","17","02/17/1982"
"414","14.8","02/18/1982"
"415","12.8","02/19/1982"
"416","15.5","02/20/1982"
"417","15.6","02/21/1982"
"418","13.1","02/22/1982"
"419","15.2","02/23/1982"
"420","14.1","02/24/1982"
"421","12.5","02/25/1982"
"422","14.6","02/26/1982"
"423","10.4","02/27/1982"
"424","13.9","02/28/1982"
"425","11.9","03/01/1982"
"426","13.5","03/02/1982"
"427","9.8","03/03/1982"
"428","14","03/04/1982"
"429","21.5","03/05/1982"
"430","19.5","03/06/1982"
"431","16.7","03/07/1982"
"432","19.1","03/08/1982"
"433","11","03/09/1982"
"434","9","03/10/1982"
"435","10","03/11/1982"
"436","14.6","03/12/1982"
"437","12.5","03/13/1982"
"438","17.2","03/14/1982"
"439","19.2","03/15/1982"
"440","22.2","03/16/1982"
"441","15.7","03/17/1982"
"442","14.2","03/18/1982"
"443","9.8","03/19/1982"
"444","14","03/20/1982"
"445","17.5","03/21/1982"
"446","20.7","03/22/1982"
"447","15.6","03/23/1982"
"448","13.2","03/24/1982"
"449","14.5","03/25/1982"
"450","16.8","03/26/1982"
"451","17.2","03/27/1982"
"452","13.4","03/28/1982"
"453","14.2","03/29/1982"
"454","14.3","03/30/1982"
"455","10.2","03/31/1982"
"456","10.4","04/01/1982"
"457","12.3","04/02/1982"
"458","11.9","04/03/1982"
"459","11.2","04/04/1982"
"460","8.5","04/05/1982"
"461","12","04/06/1982"
"462","12.4","04/07/1982"
"463","12.9","04/08/1982"
"464","10.1","04/09/1982"
"465","15","04/10/1982"
"466","13.6","04/11/1982"
"467","12.4","04/12/1982"
"468","13.6","04/13/1982"
"469","16.1","04/14/1982"
"470","19.5","04/15/1982"
"471","14.2","04/16/1982"
"472","9.3","04/17/1982"
"473","10.1","04/18/1982"
"474","7.4","04/19/1982"
"475","8.6","04/20/1982"
"476","7.8","04/21/1982"
"477","9.1","04/22/1982"
"478","13","04/23/1982"
"479","16.5","04/24/1982"
"480","12.9","04/25/1982"
"481","6.9","04/26/1982"
"482","6.9","04/27/1982"
"483","8.7","04/28/1982"
"484","10","04/29/1982"
"485","10.8","04/30/1982"
"486","7.5","05/01/1982"
"487","6.3","05/02/1982"
"488","11.9","05/03/1982"
"489","13.8","05/04/1982"
"490","11.8","05/05/1982"
"491","11","05/06/1982"
"492","10.1","05/07/1982"
"493","8.5","05/08/1982"
"494","5.5","05/09/1982"
"495","7.6","05/10/1982"
"496","8.7","05/11/1982"
"497","10.8","05/12/1982"
"498","11.2","05/13/1982"
"499","9.1","05/14/1982"
"500","3.7","05/15/1982"
"501","4.6","05/16/1982"
"502","6.6","05/17/1982"
"503","13.2","05/18/1982"
"504","15.2","05/19/1982"
"505","7.6","05/20/1982"
"506","8.4","05/21/1982"
"507","6","05/22/1982"
"508","8.3","05/23/1982"
"509","8.6","05/24/1982"
"510","11.1","05/25/1982"
"511","12.1","05/26/1982"
"512","12.9","05/27/1982"
"513","14","05/28/1982"
"514","12.5","05/29/1982"
"515","11.5","05/30/1982"
"516","7","05/31/1982"
"517","7.1","06/01/1982"
"518","9","06/02/1982"
"519","3.1","06/03/1982"
"520","2.5","06/04/1982"
"521","0","06/05/1982"
"522","1.6","06/06/1982"
"523","2.6","06/07/1982"
"524","5.7","06/08/1982"
"525","2.3","06/09/1982"
"526","4.5","06/10/1982"
"527","8.2","06/11/1982"
"528","6.9","06/12/1982"
"529","7.3","06/13/1982"
"530","6","06/14/1982"
"531","7.3","06/15/1982"
"532","7.6","06/16/1982"
"533","8","06/17/1982"
"534","8","06/18/1982"
"535","6.8","06/19/1982"
"536","7.3","06/20/1982"
"537","6.2","06/21/1982"
"538","6.9","06/22/1982"
"539","8.9","06/23/1982"
"540","4","06/24/1982"
"541","1.3","06/25/1982"
"542","0.8","06/26/1982"
"543","4.3","06/27/1982"
"544","7.3","06/28/1982"
"545","7.7","06/29/1982"
"546","9","06/30/1982"
"547","4.2","07/01/1982"
"548","1.6","07/02/1982"
"549","2.6","07/03/1982"
"550","3.4","07/04/1982"
"551","3.9","07/05/1982"
"552","7","07/06/1982"
"553","7.8","07/07/1982"
"554","5.3","07/08/1982"
"555","2.4","07/09/1982"
"556","2.8","07/10/1982"
"557","4","07/11/1982"
"558","7.5","07/12/1982"
"559","7.8","07/13/1982"
"560","5.6","07/14/1982"
"561","3.3","07/15/1982"
"562","5","07/16/1982"
"563","3.7","07/17/1982"
"564","3.9","07/18/1982"
"565","5.2","07/19/1982"
"566","0","07/20/1982"
"567","0","07/21/1982"
"568","0.9","07/22/1982"
"569","3.5","07/23/1982"
"570","6.6","07/24/1982"
"571","9.5","07/25/1982"
"572","9","07/26/1982"
"573","3.5","07/27/1982"
"574","4.5","07/28/1982"
"575","5.7","07/29/1982"
"576","5.6","07/30/1982"
"577","7.1","07/31/1982"
"578","9.7","08/01/1982"
"579","8.3","08/02/1982"
"580","9.1","08/03/1982"
"581","2.8","08/04/1982"
"582","2.2","08/05/1982"
"583","4.5","08/06/1982"
"584","3.8","08/07/1982"
"585","3.8","08/08/1982"
"586","6.2","08/09/1982"
"587","11.5","08/10/1982"
"588","10.2","08/11/1982"
"589","7.9","08/12/1982"
"590","9","08/13/1982"
"591","9.5","08/14/1982"
"592","6","08/15/1982"
"593","8.2","08/16/1982"
"594","9.2","08/17/1982"
"595","4.3","08/18/1982"
"596","6.6","08/19/1982"
"597","9.4","08/20/1982"
"598","13.2","08/21/1982"
"599","6.6","08/22/1982"
"600","5.1","08/23/1982"
"601","12.1","08/24/1982"
"602","11.2","08/25/1982"
"603","8.5","08/26/1982"
"604","4.6","08/27/1982"
"605","7","08/28/1982"
"606","14.2","08/29/1982"
"607","12.7","08/30/1982"
"608","7.6","08/31/1982"
"609","4","09/01/1982"
"610","10","09/02/1982"
"611","10.5","09/03/1982"
"612","5","09/04/1982"
"613","4.5","09/05/1982"
"614","8.2","09/06/1982"
"615","4.3","09/07/1982"
"616","9.8","09/08/1982"
"617","5.8","09/09/1982"
"618","5","09/10/1982"
"619","8.5","09/11/1982"
"620","9","09/12/1982"
"621","3.6","09/13/1982"
"622","6.7","09/14/1982"
"623","6.7","09/15/1982"
"624","10.1","09/16/1982"
"625","15","09/17/1982"
"626","8.9","09/18/1982"
"627","5.7","09/19/1982"
"628","4.2","09/20/1982"
"629","4","09/21/1982"
"630","5.3","09/22/1982"
"631","6.3","09/23/1982"
"632","8.5","09/24/1982"
"633","11.5","09/25/1982"
"634","7.7","09/26/1982"
"635","9.2","09/27/1982"
"636","7.8","09/28/1982"
"637","6.3","09/29/1982"
"638","6.3","09/30/1982"
"639","8.6","10/01/1982"
"640","6.1","10/02/1982"
"641","13.2","10/03/1982"
"642","9.9","10/04/1982"
"643","4.7","10/05/1982"
"644","5.8","10/06/1982"
"645","14.9","10/07/1982"
"646","10.7","10/08/1982"
"647","8.6","10/09/1982"
"648","9.4","10/10/1982"
"649","5.7","10/11/1982"
"650","10.9","10/12/1982"
"651","13.1","10/13/1982"
"652","10.4","10/14/1982"
"653","8.2","10/15/1982"
"654","9.8","10/16/1982"
"655","7.5","10/17/1982"
"656","5.8","10/18/1982"
"657","9.8","10/19/1982"
"658","7.9","10/20/1982"
"659","8.7","10/21/1982"
"660","10","10/22/1982"
"661","10.6","10/23/1982"
"662","8","10/24/1982"
"663","10.2","10/25/1982"
"664","15.1","10/26/1982"
"665","13.9","10/27/1982"
"666","9.2","10/28/1982"
"667","9","10/29/1982"
"668","13.2","10/30/1982"
"669","7","10/31/1982"
"670","10.6","11/01/1982"
"671","6.9","11/02/1982"
"672","9.5","11/03/1982"
"673","12.5","11/04/1982"
"674","13.6","11/05/1982"
"675","17.7","11/06/1982"
"676","16","11/07/1982"
"677","11.3","11/08/1982"
"678","10.5","11/09/1982"
"679","14.4","11/10/1982"
"680","10.3","11/11/1982"
"681","9","11/12/1982"
"682","11.1","11/13/1982"
"683","14.5","11/14/1982"
"684","18","11/15/1982"
"685","12.8","11/16/1982"
"686","10.7","11/17/1982"
"687","9.1","11/18/1982"
"688","8.7","11/19/1982"
"689","12.4","11/20/1982"
"690","12.6","11/21/1982"
"691","10.3","11/22/1982"
"692","13.7","11/23/1982"
"693","16","11/24/1982"
"694","15.8","11/25/1982"
"695","12.1","11/26/1982"
"696","12.5","11/27/1982"
"697","12.2","11/28/1982"
"698","13.7","11/29/1982"
"699","16.1","11/30/1982"
"700","15.5","12/01/1982"
"701","10.3","12/02/1982"
"702","10.5","12/03/1982"
"703","11","12/04/1982"
"704","11.9","12/05/1982"
"705","13","12/06/1982"
"706","12.2","12/07/1982"
"707","10.6","12/08/1982"
"708","13","12/09/1982"
"709","13","12/10/1982"
"710","12.2","12/11/1982"
"711","12.6","12/12/1982"
"712","18.7","12/13/1982"
"713","15.2","12/14/1982"
"714","15.3","12/15/1982"
"715","13.9","12/16/1982"
"716","15.8","12/17/1982"
"717","13","12/18/1982"
"718","13","12/19/1982"
"719","13.7","12/20/1982"
"720","12","12/21/1982"
"721","10.8","12/22/1982"
"722","15.6","12/23/1982"
"723","15.3","12/24/1982"
"724","13.9","12/25/1982"
"725","13","12/26/1982"
"726","15.3","12/27/1982"
"727","16.3","12/28/1982"
"728","15.8","12/29/1982"
"729","17.7","12/30/1982"
"730","16.3","12/31/1982"
"731","18.4","01/01/1983"
"732","15","01/02/1983"
"733","10.9","01/03/1983"
"734","11.4","01/04/1983"
"735","14.8","01/05/1983"
"736","12.1","01/06/1983"
"737","12.8","01/07/1983"
"738","16.2","01/08/1983"
"739","15.5","01/09/1983"
"740","13","01/10/1983"
"741","10.5","01/11/1983"
"742","9.1","01/12/1983"
"743","10.5","01/13/1983"
"744","11.8","01/14/1983"
"745","12.7","01/15/1983"
"746","12.7","01/16/1983"
"747","11.5","01/17/1983"
"748","13.8","01/18/1983"
"749","13.3","01/19/1983"
"750","11.6","01/20/1983"
"751","15.4","01/21/1983"
"752","12.4","01/22/1983"
"753","16.9","01/23/1983"
"754","14.7","01/24/1983"
"755","10.6","01/25/1983"
"756","15.6","01/26/1983"
"757","10.7","01/27/1983"
"758","12.6","01/28/1983"
"759","13.8","01/29/1983"
"760","14.3","01/30/1983"
"761","14","01/31/1983"
"762","18.1","02/01/1983"
"763","17.3","02/02/1983"
"764","13","02/03/1983"
"765","16","02/04/1983"
"766","14.9","02/05/1983"
"767","16.2","02/06/1983"
"768","20.3","02/07/1983"
"769","22.5","02/08/1983"
"770","17.2","02/09/1983"
"771","15.9","02/10/1983"
"772","16.8","02/11/1983"
"773","13.8","02/12/1983"
"774","12.8","02/13/1983"
"775","14","02/14/1983"
"776","17.5","02/15/1983"
"777","21.5","02/16/1983"
"778","16.8","02/17/1983"
"779","13.6","02/18/1983"
"780","14.5","02/19/1983"
"781","14.2","02/20/1983"
"782","15.7","02/21/1983"
"783","19.7","02/22/1983"
"784","17.4","02/23/1983"
"785","14.4","02/24/1983"
"786","16.9","02/25/1983"
"787","19.1","02/26/1983"
"788","20.4","02/27/1983"
"789","20.1","02/28/1983"
"790","19.9","03/01/1983"
"791","22","03/02/1983"
"792","20.5","03/03/1983"
"793","22.1","03/04/1983"
"794","20.6","03/05/1983"
"795","15","03/06/1983"
"796","20.6","03/07/1983"
"797","21.5","03/08/1983"
"798","16.2","03/09/1983"
"799","14.1","03/10/1983"
"800","14.5","03/11/1983"
"801","21.1","03/12/1983"
"802","15.9","03/13/1983"
"803","15.2","03/14/1983"
"804","13.1","03/15/1983"
"805","13.2","03/16/1983"
"806","12.5","03/17/1983"
"807","15.2","03/18/1983"
"808","17.6","03/19/1983"
"809","15.5","03/20/1983"
"810","16.7","03/21/1983"
"811","16.3","03/22/1983"
"812","15.1","03/23/1983"
"813","12.7","03/24/1983"
"814","10","03/25/1983"
"815","11.4","03/26/1983"
"816","12.6","03/27/1983"
"817","10.7","03/28/1983"
"818","10","03/29/1983"
"819","13.9","03/30/1983"
"820","13.4","03/31/1983"
"821","12.5","04/01/1983"
"822","12.8","04/02/1983"
"823","7.8","04/03/1983"
"824","11.1","04/04/1983"
"825","10.7","04/05/1983"
"826","7.1","04/06/1983"
"827","6.7","04/07/1983"
"828","5.7","04/08/1983"
"829","9.1","04/09/1983"
"830","15.2","04/10/1983"
"831","15.5","04/11/1983"
"832","11.1","04/12/1983"
"833","11.7","04/13/1983"
"834","11.5","04/14/1983"
"835","9.8","04/15/1983"
"836","6.2","04/16/1983"
"837","6.7","04/17/1983"
"838","7.5","04/18/1983"
"839","8.8","04/19/1983"
"840","8","04/20/1983"
"841","10.4","04/21/1983"
"842","14.5","04/22/1983"
"843","16.5","04/23/1983"
"844","14.1","04/24/1983"
"845","10.5","04/25/1983"
"846","12.6","04/26/1983"
"847","13","04/27/1983"
"848","8.7","04/28/1983"
"849","10.1","04/29/1983"
"850","12","04/30/1983"
"851","12.5","05/01/1983"
"852","13.5","05/02/1983"
"853","13.7","05/03/1983"
"854","13.5","05/04/1983"
"855","10.7","05/05/1983"
"856","13","05/06/1983"
"857","11.6","05/07/1983"
"858","13","05/08/1983"
"859","11.2","05/09/1983"
"860","13.5","05/10/1983"
"861","12.9","05/11/1983"
"862","6.8","05/12/1983"
"863","10","05/13/1983"
"864","14.5","05/14/1983"
"865","11.7","05/15/1983"
"866","6.7","05/16/1983"
"867","4.6","05/17/1983"
"868","4.9","05/18/1983"
"869","7.4","05/19/1983"
"870","8.3","05/20/1983"
"871","7.5","05/21/1983"
"872","6.2","05/22/1983"
"873","7.8","05/23/1983"
"874","13.2","05/24/1983"
"875","11.9","05/25/1983"
"876","6.5","05/26/1983"
"877","8.3","05/27/1983"
"878","12.1","05/28/1983"
"879","9.3","05/29/1983"
"880","7.5","05/30/1983"
"881","9.3","05/31/1983"
"882","11","06/01/1983"
"883","10.8","06/02/1983"
"884","5.3","06/03/1983"
"885","7.6","06/04/1983"
"886","5.6","06/05/1983"
"887","7.2","06/06/1983"
"888","9.6","06/07/1983"
"889","7","06/08/1983"
"890","8.3","06/09/1983"
"891","7.8","06/10/1983"
"892","4.7","06/11/1983"
"893","6.8","06/12/1983"
"894","7.2","06/13/1983"
"895","8.3","06/14/1983"
"896","9.5","06/15/1983"
"897","4.7","06/16/1983"
"898","3","06/17/1983"
"899","1.5","06/18/1983"
"900","2.5","06/19/1983"
"901","6.2","06/20/1983"
"902","11.6","06/21/1983"
"903","6.6","06/22/1983"
"904","6.6","06/23/1983"
"905","8","06/24/1983"
"906","7.9","06/25/1983"
"907","3.3","06/26/1983"
"908","3.9","06/27/1983"
"909","6","06/28/1983"
"910","4","06/29/1983"
"911","5.5","06/30/1983"
"912","8.5","07/01/1983"
"913","9.8","07/02/1983"
"914","9.5","07/03/1983"
"915","7.2","07/04/1983"
"916","8.1","07/05/1983"
"917","8","07/06/1983"
"918","8.5","07/07/1983"
"919","8.8","07/08/1983"
"920","8.3","07/09/1983"
"921","2.4","07/10/1983"
"922","4.9","07/11/1983"
"923","5.9","07/12/1983"
"924","6.7","07/13/1983"
"925","8.4","07/14/1983"
"926","6.5","07/15/1983"
"927","7.9","07/16/1983"
"928","4.1","07/17/1983"
"929","5.4","07/18/1983"
"930","7.5","07/19/1983"
"931","3.9","07/20/1983"
"932","2.5","07/21/1983"
"933","5.3","07/22/1983"
"934","6.6","07/23/1983"
"935","0","07/24/1983"
"936","0.7","07/25/1983"
"937","7.6","07/26/1983"
"938","12.3","07/27/1983"
"939","9.2","07/28/1983"
"940","9.6","07/29/1983"
"941","9.5","07/30/1983"
"942","10","07/31/1983"
"943","7.7","08/01/1983"
"944","8","08/02/1983"
"945","8.3","08/03/1983"
"946","8.3","08/04/1983"
"947","4.5","08/05/1983"
"948","6.5","08/06/1983"
